,Country_Other,Continent,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,Tot_Cases_per_1_million_pop,Deaths_per_1_million_pop,Total_Tests,Tests_per_1_million_pop,Population
172,Liechtenstein,Europe,"2,539",,52 ,,"2,457",30,2,"66,473","1,361","26,526","694,471","38,196 "
173,Saint Lucia,North America,"2,519",,23 ,,"1,778",718,2,"13,679",125,"28,085","152,511","184,151 "
174,Eritrea,Africa,"2,429",,7 ,,"1,828",594,,679,2,"23,693","6,624","3,576,930 "
175,Mongolia,Asia,"2,383",+32,2 ,,"1,711",670,4,720,0.6,"1,376,250","415,652","3,311,061 "
176,New Zealand,Australia/Oceania,"2,336",+6,25 ,,"2,264",47,,467,5,"1,589,949","317,856","5,002,100 "
177,Vietnam,Asia,"2,269",+41,35 ,,"1,541",693,,23,0.4,"1,529,651","15,627","97,884,443 "
178,Yemen,Asia,"2,145",,617 ,,"1,430",98,23,71,20,"17,404",576,"30,232,294 "
179,Barbados,North America,"2,061",,23 ,,"1,616",422,1,"7,166",80,"112,556","391,370","287,595 "
180,Sint Maarten,North America,"1,998",,27 ,,"1,913",58,1,"46,272",625,"16,065","372,056","43,179 "
181,Liberia,Africa,"1,956",,84 ,,"1,770",102,2,381,16,"67,081","13,073","5,131,146 "
182,Seychelles,Africa,"1,892",,8 ,,"1,354",530,,"19,164",81,"5,200","52,670","98,727 "
183,Turks and Caicos,North America,"1,873",,13 ,,"1,547",313,8,"47,973",333,"16,037","410,752","39,043 "
184,Burundi,Africa,"1,849",+25,3 ,,773,"1,073",,153,0.2,"90,019","7,434","12,108,801 "
185,Monaco,Europe,"1,760",,21 ,,"1,530",209,8,"44,652",533,"51,953","1,318,069","39,416 "
186,Sao Tome and Principe,Africa,"1,482",,19 ,,"1,106",357,,"6,685",86,"11,592","52,291","221,682 "
187,St. Vincent Grenadines,North America,"1,418",,6 ,,554,858,2,"12,756",54,"33,210","298,759","111,160 "
188,Saint Martin,North America,"1,408",,12 ,,"1,050",346,7,"36,033",307,"18,619","476,494","39,075 "
189,Taiwan,Asia,937,,9 ,,859,69,,39,0.4,"167,278","7,016","23,843,744 "
190,Papua New Guinea,Australia/Oceania,914,,9 ,,846,59,,101,1.0,"43,728","4,831","9,052,053 "
191,Bhutan,Asia,866,+2,1 ,,856,9,,"1,115",1,"499,744","643,256","776,898 "
192,Diamond Princess,,712,,13 ,,699,0,,,,,, 
193,Bermuda,North America,694,,12 ,,675,7,3,"11,169",193,"168,422","2,710,625","62,134 "
194,Faeroe Islands,Europe,657,,1 ,,654,2,,"13,414",20,"227,222","4,639,172","48,979 "
195,Mauritius,Africa,601,+6,10 ,,554,37,,472,8,"289,552","227,441","1,273,088 "
196,Tanzania,Africa,509,,21 ,,183,305,7,8,0.3,,,"60,782,504 "
197,Cambodia,Asia,479,, ,,469,10,,28,,"434,424","25,762","16,862,785 "
198,St. Barth,North America,455,,1 ,,247,207,,"45,978",101,"15,063","1,522,130","9,896 "
199,Isle of Man,Europe,436,,25 ,,408,3,,"5,111",293,"29,876","350,189","85,314 "
200,Antigua and Barbuda,North America,427,,9 ,,199,219,1,"4,338",91,"11,607","117,915","98,435 "
201,Cayman Islands,North America,416,,2 ,,378,36,1,"6,284",30,"70,163","1,059,832","66,202 "
202,Caribbean Netherlands,North America,360,,3 ,,244,113,,"13,649",114,"5,145","195,071","26,375 "
203,Brunei ,Asia,184,,3 ,,177,4,,418,7,"95,750","217,570","440,089 "
204,Grenada,North America,148,,1 ,,146,1,,"1,311",9,"20,288","179,780","112,849 "
205,Dominica,North America,121,, ,,110,11,,"1,678",,"9,977","138,381","72,098 "
206,British Virgin Islands,North America,114,,1 ,,95,18,,"3,755",33,"13,223","435,583","30,357 "
207,Timor-Leste,Asia,102,, ,,62,40,,76,,"19,919","14,932","1,334,006 "
208,Fiji,Australia/Oceania,56,,2 ,,54,0,,62,2,"27,932","31,018","900,498 "
209,Falkland Islands,South America,53,, ,,38,15,,"14,963",,"6,940","1,959,345","3,542 "
210,New Caledonia,Australia/Oceania,52,, ,,49,3,,181,,"21,897","76,241","287,208 "
211,Macao,Asia,48,, ,,46,2,,73,,"4,369","6,672","654,838 "
212,Laos,Asia,45,, ,,41,4,,6,,"108,010","14,713","7,341,157 "
213,Saint Kitts and Nevis,North America,41,, ,,39,2,,767,,"8,533","159,692","53,434 "
214,Greenland,North America,30,, ,,30,0,,528,,"17,382","305,849","56,832 "
215,Vatican City,Europe,27,, ,,15,12,,"33,666",,,,802 
216,Saint Pierre Miquelon,North America,24,, ,,16,8,,"4,155",,"3,729","645,602","5,776 "
217,Montserrat,North America,20,,1 ,,13,6,,"4,005",200,947,"189,628","4,994 "
218,Anguilla,North America,18,, ,,16,2,,"1,193",,"8,256","547,262","15,086 "
