,Index_Name,date,open,high,low,close,adjClose,change,changePercent,label,changeOverTime
0,BUK100P,2021-02-12,648.450012,654.01001,644.299988,654.0,654.0,5.54999,0.856,"February 12, 21",0.00856
1,BUK100P,2021-02-11,647.909973,651.130005,647.3099980000001,648.450012,648.450012,0.54004,0.083,"February 11, 21",0.0008300000000000001
2,BUK100P,2021-02-10,649.219971,653.200012,644.23999,647.909973,647.909973,-1.31,-0.20199999999999999,"February 10, 21",-0.00202
3,BUK100P,2021-02-09,649.26001,649.960022,646.099976,649.219971,649.219971,-0.04004,-0.006,"February 09, 21",-5.9999999999999995e-05
4,BUK100P,2021-02-08,645.4400019999999,652.679993,645.4400019999999,649.26001,649.26001,3.82001,0.5920000000000001,"February 08, 21",0.00592
5,BUK100P,2021-02-05,646.400024,648.0599980000001,642.01001,645.4400019999999,645.4400019999999,-0.9600200000000001,-0.149,"February 05, 21",-0.00149
6,BUK100P,2021-02-04,646.48999,651.52002,644.1099849999999,646.400024,646.400024,-0.08997000000000001,-0.013999999999999999,"February 04, 21",-0.00014
7,BUK100P,2021-02-03,648.070007,653.48999,645.25,646.48999,646.48999,-1.58002,-0.244,"February 03, 21",-0.00244
8,BUK100P,2021-02-02,643.090027,648.659973,643.070007,648.070007,648.070007,4.97998,0.774,"February 02, 21",0.00774
9,BUK100P,2021-02-01,637.090027,645.820007,637.090027,643.090027,643.090027,6.0,0.9420000000000001,"February 01, 21",0.00942
10,BUK100P,2021-01-29,649.049988,649.049988,636.1400150000001,637.090027,637.090027,-11.95996,-1.8430000000000002,"January 29, 21",-0.018430000000000002
11,BUK100P,2021-01-28,653.419983,653.419983,640.77002,649.049988,649.049988,-4.37,-0.669,"January 28, 21",-0.006690000000000001
12,BUK100P,2021-01-27,662.349976,662.3900150000001,647.27002,653.419983,653.419983,-8.92999,-1.348,"January 27, 21",-0.01348
13,BUK100P,2021-01-26,659.400024,666.349976,659.340027,662.349976,662.349976,2.94995,0.447,"January 26, 21",0.00447
14,BUK100P,2021-01-25,665.080017,667.3900150000001,657.159973,659.400024,659.400024,-5.67999,-0.8540000000000001,"January 25, 21",-0.00854
15,BUK100P,2021-01-21,670.130005,674.1099849999999,668.150024,668.76001,668.76001,-1.37,-0.204,"January 21, 21",-0.0020399999999999997
16,BUK100P,2021-01-20,667.919983,671.719971,666.52002,670.130005,670.130005,2.21002,0.331,"January 20, 21",0.00331
17,BUK100P,2021-01-19,669.380005,673.780029,666.669983,667.919983,667.919983,-1.46002,-0.218,"January 19, 21",-0.00218
18,BUK100P,2021-01-18,669.909973,670.849976,667.820007,669.380005,669.380005,-0.5299699999999999,-0.079,"January 18, 21",-0.00079
19,BUK100P,2021-01-15,676.419983,676.419983,664.719971,669.909973,669.909973,-6.51001,-0.9620000000000001,"January 15, 21",-0.00962
20,BUK100P,2021-01-14,671.799988,676.789978,670.47998,676.419983,676.419983,4.62,0.688,"January 14, 21",0.00688
21,BUK100P,2021-01-13,672.3900150000001,674.039978,670.619995,671.799988,671.799988,-0.59003,-0.08800000000000001,"January 13, 21",-0.00088
22,BUK100P,2021-01-12,677.090027,678.1400150000001,670.659973,672.27002,672.27002,-4.82001,-0.7120000000000001,"January 12, 21",-0.0071200000000000005
23,BUK100P,2021-01-11,683.590027,683.73999,673.47998,677.090027,677.090027,-6.5,-0.951,"January 11, 21",-0.00951
24,BUK100P,2021-01-08,684.419983,685.48999,680.299988,683.409973,683.409973,-1.01001,-0.14800000000000002,"January 08, 21",-0.00148
