,Index_Name,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,BSESN,2021-02-12,51614.769531,51804.578125,51260.621094,51544.300781,51544.300781,15100.0,15100.0,-70.46875,-0.13699999999999998,51536.5,"February 12, 21",-0.00137
1,BSESN,2021-02-11,51165.839844,51592.449219,51157.308594,51531.519531,51531.519531,12100.0,12100.0,365.67969,0.715,51427.09245,"February 11, 21",0.00715
2,BSESN,2021-02-10,51355.890625,51512.859375,50846.21875,51309.390625,51309.390625,16000.0,16000.0,-46.5,-0.091,51222.82292,"February 10, 21",-0.00091
3,BSESN,2021-02-09,51484.230469,51835.859375,51193.929688,51329.078125,51329.078125,21200.0,21200.0,-155.15234,-0.301,51452.95573,"February 09, 21",-0.00301
4,BSESN,2021-02-08,51146.671875,51523.378906,51146.671875,51348.769531,51348.769531,20600.0,20600.0,202.09766,0.395,51339.60677,"February 08, 21",0.00395
5,BSESN,2021-02-05,51031.390625,51073.269531,50565.289063,50731.628906,50731.628906,32200.0,32200.0,-299.76172,-0.5870000000000001,50790.0625,"February 05, 21",-0.00587
6,BSESN,2021-02-04,50212.25,50687.511719,49926.449219,50614.289063,50614.289063,33600.0,33600.0,402.03906,0.8009999999999999,50409.41667,"February 04, 21",0.00801
7,BSESN,2021-02-03,50231.058594,50526.390625,49515.878906,50255.75,50255.75,22400.0,22400.0,24.69141,0.049,50099.33984,"February 03, 21",0.00049
8,BSESN,2021-02-02,49193.261719,50154.480469,49193.261719,49797.71875,49797.71875,28400.0,28400.0,604.45703,1.229,49715.15365,"February 02, 21",0.01229
9,BSESN,2021-02-01,46617.949219,48764.398438,46433.648438,48600.609375,48600.609375,22000.0,22000.0,1982.66016,4.253,47932.88542,"February 01, 21",0.04253
10,BSESN,2021-01-29,47423.46875,47423.660156,46160.460938,46285.769531,46285.769531,14500.0,14500.0,-1137.69922,-2.399,46623.29688,"January 29, 21",-0.02399
11,BSESN,2021-01-28,46834.570313,47172.019531,46518.480469,46874.359375,46874.359375,25000.0,25000.0,39.78906,0.085,46854.95313,"January 28, 21",0.00085
12,BSESN,2021-01-27,48385.28125,48387.25,47269.601563,47409.929688,47409.929688,19600.0,19600.0,-975.35156,-2.016,47688.92708,"January 27, 21",-0.02016
13,BSESN,2021-01-25,49253.679688,49263.148438,48274.921875,48347.589844,48347.589844,15500.0,15500.0,-906.08984,-1.84,48628.55339,"January 25, 21",-0.0184
14,BSESN,2021-01-22,49594.949219,49676.878906,48832.078125,48878.539063,48878.539063,18400.0,18400.0,-716.41016,-1.445,49129.16536,"January 22, 21",-0.01445
15,BSESN,2021-01-21,50096.570313,50184.011719,49398.859375,49624.761719,49624.761719,19300.0,19300.0,-471.80859,-0.9420000000000001,49735.8776,"January 21, 21",-0.00942
16,BSESN,2021-01-20,49508.789063,49874.421875,49373.679688,49792.121094,49792.121094,12200.0,12200.0,283.33203,0.5720000000000001,49680.07422,"January 20, 21",0.00572
17,BSESN,2021-01-19,48900.308594,49499.859375,48805.539063,49398.289063,49398.289063,11000.0,11000.0,497.98047,1.018,49234.5625,"January 19, 21",0.01018
18,BSESN,2021-01-18,49061.21875,49122.230469,48403.96875,48564.269531,48564.269531,16600.0,16600.0,-496.94922,-1.013,48696.82292,"January 18, 21",-0.01013
19,BSESN,2021-01-15,49656.710938,49656.710938,48795.789063,49034.671875,49034.671875,14700.0,14700.0,-622.03906,-1.253,49162.39063,"January 15, 21",-0.01253
20,BSESN,2021-01-14,49432.828125,49663.578125,49182.371094,49584.160156,49584.160156,24500.0,24500.0,151.33203,0.306,49476.70313,"January 14, 21",0.0030600000000000002
21,BSESN,2021-01-13,49763.929688,49795.191406,49073.851563,49492.320313,49492.320313,27200.0,27200.0,-271.60938,-0.546,49453.78776,"January 13, 21",-0.0054600000000000004
22,BSESN,2021-01-12,49228.261719,49569.140625,49079.570313,49517.109375,49517.109375,12700.0,12700.0,288.84766,0.5870000000000001,49388.60677,"January 12, 21",0.00587
23,BSESN,2021-01-11,49252.308594,49303.789063,48956.378906,49269.320313,49269.320313,21200.0,21200.0,17.01172,0.035,49176.49609,"January 11, 21",0.00035
24,BSESN,2021-01-08,48464.910156,48854.339844,48365.578125,48782.511719,48782.511719,22200.0,22200.0,317.60156,0.655,48667.47656,"January 08, 21",0.00655
25,BSESN,2021-01-07,48524.359375,48558.339844,48037.871094,48093.320313,48093.320313,18400.0,18400.0,-431.03906,-0.888,48229.84375,"January 07, 21",-0.008879999999999999
26,BSESN,2021-01-06,48616.660156,48616.660156,47864.140625,48174.058594,48174.058594,22500.0,22500.0,-442.60156,-0.91,48218.28646,"January 06, 21",-0.0091
27,BSESN,2021-01-05,48037.628906,48486.238281,47903.378906,48437.78125,48437.78125,12200.0,12200.0,400.15234,0.833,48275.79948,"January 05, 21",0.008329999999999999
28,BSESN,2021-01-04,48109.171875,48220.46875,47594.46875,48176.800781,48176.800781,13900.0,13900.0,67.62891,0.141,47997.24609,"January 04, 21",0.00141
29,BSESN,2021-01-01,47785.28125,47980.359375,47771.148438,47868.980469,47868.980469,83.69922,0.175,"January 01, 21",0.00175,,,
30,BSESN,2020-12-31,47753.109375,47896.96875,47602.121094,47751.328125,47751.328125,13900.0,13900.0,-1.78125,-0.004,47750.13932,"December 31, 20",-4e-05
31,BSESN,2020-12-30,47789.03125,47807.851563,47358.359375,47746.21875,47746.21875,15600.0,15600.0,-42.8125,-0.09,47637.47656,"December 30, 20",-0.0009
32,BSESN,2020-12-29,47466.621094,47714.550781,47361.898438,47613.078125,47613.078125,12800.0,12800.0,146.45703,0.309,47563.17578,"December 29, 20",0.00309
33,BSESN,2020-12-28,47153.589844,47406.71875,47148.238281,47353.75,47353.75,9600.0,9600.0,200.16016,0.424,47302.90234,"December 28, 20",0.00424
34,BSESN,2020-12-24,46743.488281,47053.398438,46539.019531,46973.539063,46973.539063,13700.0,13700.0,230.05078,0.49200000000000005,46855.31901,"December 24, 20",0.00492
35,BSESN,2020-12-23,46072.300781,46513.320313,45899.101563,46444.179688,46444.179688,10500.0,10500.0,371.87891,0.807,46285.53385,"December 23, 20",0.00807
36,BSESN,2020-12-22,45529.609375,46080.179688,45112.191406,46006.691406,46006.691406,25100.0,25100.0,477.08203,1.048,45733.02083,"December 22, 20",0.01048
37,BSESN,2020-12-21,46932.179688,47055.691406,44923.078125,45553.960938,45553.960938,24400.0,24400.0,-1378.21875,-2.937,45844.24349,"December 21, 20",-0.02937
38,BSESN,2020-12-18,47026.019531,47026.019531,46630.308594,46960.691406,46960.691406,12800.0,12800.0,-65.32813,-0.139,46872.33984,"December 18, 20",-0.00139
39,BSESN,2020-12-17,46774.320313,46992.570313,46627.601563,46890.339844,46890.339844,17200.0,17200.0,116.01953,0.248,46836.83724,"December 17, 20",0.00248
40,BSESN,2020-12-16,46573.308594,46704.96875,46402.199219,46666.460938,46666.460938,13100.0,13100.0,93.15234,0.2,46591.20964,"December 16, 20",0.002
41,BSESN,2020-12-15,46287.390625,46350.300781,45841.671875,46263.171875,46263.171875,16400.0,16400.0,-24.21875,-0.052000000000000005,46151.71484,"December 15, 20",-0.0005200000000000001
42,BSESN,2020-12-14,46284.699219,46373.339844,45951.53125,46253.460938,46253.460938,18400.0,18400.0,-31.23828,-0.067,46192.77734,"December 14, 20",-0.00067
43,BSESN,2020-12-11,46060.320313,46309.628906,45706.21875,46099.011719,46099.011719,26300.0,26300.0,38.69141,0.084,46038.28646,"December 11, 20",0.00084
44,BSESN,2020-12-10,45999.421875,46043.96875,45685.871094,45959.878906,45959.878906,12700.0,12700.0,-39.54297,-0.086,45896.57292,"December 10, 20",-0.00086
45,BSESN,2020-12-09,45891.039063,46164.101563,45792.011719,46103.5,46103.5,20700.0,20700.0,212.46094,0.46299999999999997,46019.87109,"December 09, 20",0.00463
46,BSESN,2020-12-08,45568.800781,45742.230469,45335.171875,45608.511719,45608.511719,18200.0,18200.0,39.71094,0.087,45561.97135,"December 08, 20",0.0008699999999999999
